DEAL_NO,PURPOSE,AMOUNT
501993,Working Capital,601.96
501994,Equipment Purchase,4395.86
501995,Working Capital,510.69
501995,Vehicle Purchase,510.68
501996,Working Capital,723.31
501996,Vehicle Purchase,723.31
501997,Business Expansion,51901.39
501998,Working Capital,2426.01
501999,Construction,2539.71
502000,Working Capital,1934.36
502000,Business Expansion,1934.36
502001,Equipment Purchase,27630.48
502002,Business Expansion,25684.42
502003,Equipment Purchase,107.46
502004,Working Capital,2619.01
502005,Debt Consolidation,1744.52
502006,Business Expansion,8587.78
502006,Working Capital,8587.78
502007,Working Capital,5398.24
502007,Business Expansion,5398.25
502008,Working Capital,705.17
502008,Equipment Purchase,705.17
502009,Debt Consolidation,4134.57
502010,Working Capital,17212.09
502011,Equipment Purchase,1729.8
502012,Working Capital,2214.47
502013,Working Capital,164637.98
502014,Working Capital,4571.09
502014,Working Capital,4571.09
502015,Equipment Purchase,20359.62
502016,Equipment Purchase,3822.08
502017,Working Capital,37370.17
502018,Business Expansion,690.87
502018,Working Capital,690.86
502019,Vehicle Purchase,284.66
502020,Working Capital,153490.49
502021,Working Capital,4982.55
502021,Debt Consolidation,4982.55
502022,Working Capital,2689.06
502023,Debt Consolidation,15164.07
502024,Business Expansion,3821.82
502025,Business Expansion,23351.65
502026,Working Capital,27266.99
502027,Working Capital,83909.18
502028,Equipment Purchase,13615.4
502028,Working Capital,13615.4
502028,Working Capital,13615.4
502029,Working Capital,24142.39
502029,Equipment Purchase,24142.39
502029,Business Expansion,24142.4
502030,Vehicle Purchase,710.34
502031,Working Capital,552.66
502032,Working Capital,30024.41
502032,Business Expansion,30024.41
502033,Business Expansion,739.94
502033,Equipment Purchase,739.94
502033,Working Capital,739.95
502034,Working Capital,1791.8
502034,Business Expansion,1791.79
502035,Working Capital,1913.89
502036,Working Capital,25922.72
502037,Working Capital,3300.07
502038,Working Capital,5186.82
502039,Personal Consumption,1675.55
502040,Equipment Purchase,13005.1
502041,Real Estate Purchase,1181.06
502042,Debt Consolidation,95323.97
502043,Personal Consumption,511.17
502043,Debt Consolidation,511.17
502043,Working Capital,511.18
502044,Business Expansion,37164.41
502045,Business Expansion,1326.77
502046,Debt Consolidation,1598.48
502047,Business Expansion,13003.0
502048,Real Estate Purchase,644.31
502049,Working Capital,21584.06
502050,Business Expansion,3485.58
502051,Business Expansion,2010.87
502052,Business Expansion,2312.51
502053,Business Expansion,30694.93
502054,Debt Consolidation,1588.31
502055,Working Capital,14017.48
502056,Working Capital,3917.18
502057,Working Capital,45161.28
502058,Equipment Purchase,8563.94
502058,Working Capital,8563.94
502058,Working Capital,8563.95
502059,Personal Consumption,1558.18
502060,Working Capital,1377.96
502060,Working Capital,1377.97
502061,Equipment Purchase,3183.89
502062,Debt Consolidation,141669.52
502063,Vehicle Purchase,1363.27
502064,Working Capital,11090.34
502065,Equipment Purchase,4991.16
502066,Personal Consumption,472.77
502067,Business Expansion,2808.96
502068,Working Capital,1429.4
502069,Business Expansion,2947.54
502070,Home Purchase,1330.59
502071,Equipment Purchase,24056.5
502072,Vehicle Purchase,620.77
502073,Personal Consumption,790.46
502074,Business Expansion,26994.6
502075,Business Expansion,5424.38
502075,Working Capital,5424.39
502075,Working Capital,5424.38
502076,Real Estate Purchase,462.73
502077,Debt Consolidation,4303.69
502078,Vehicle Purchase,545.82
502078,Working Capital,545.82
502079,Equipment Purchase,2436.17
502080,Working Capital,8592.26
502081,Working Capital,4104.99
502082,Working Capital,438.82
502082,Vehicle Purchase,438.83
502083,Business Expansion,6855.8
502084,Debt Consolidation,18719.56
502085,Working Capital,1238.39
502085,Debt Consolidation,1238.4
502086,Equipment Purchase,37612.13
502087,Vehicle Purchase,1592.97
502088,Vehicle Purchase,663.95
502089,Business Expansion,3962.7
502090,Business Expansion,26861.92
502090,Working Capital,26861.93
502091,Real Estate Purchase,1740.1
502092,Home Purchase,387.21
502093,Business Expansion,30399.74
502094,Business Expansion,16291.44
502095,Working Capital,21905.23
502096,Business Expansion,37735.17
502097,Business Expansion,1462.21
502098,Business Expansion,3188.83
502099,Working Capital,160324.95
502100,Business Expansion,3040.81
502101,Working Capital,1439.14
502101,Equipment Purchase,1439.13
502101,Business Expansion,1439.14
502102,Working Capital,4082.84
502103,Real Estate Purchase,405.32
502103,Working Capital,405.33
502103,Home Purchase,405.32
502104,Business Expansion,26074.53
502105,Vehicle Purchase,40.83
502105,Working Capital,40.82
502106,Business Expansion,995.25
502106,Working Capital,995.24
502106,Equipment Purchase,995.25
502107,Business Expansion,8694.63
502108,Home Purchase,1783.23
502109,Business Expansion,1269.66
502110,Working Capital,34295.88
502111,Personal Consumption,131.61
502112,Equipment Purchase,3969.77
502113,Business Expansion,46089.18
502113,Construction,46089.18
502113,Working Capital,46089.18
502114,Business Expansion,1344.48
502115,Business Expansion,1783.54
502116,Debt Consolidation,721.73
502117,Business Expansion,3873.45
502118,Business Expansion,16618.14
502119,Working Capital,1825.2
502120,Working Capital,141683.37
502121,Equipment Purchase,8417.58
502122,Debt Consolidation,13656.72
502123,Business Expansion,1021.77
502124,Construction,23888.88
502125,Debt Consolidation,2114.76
502126,Real Estate Purchase,251.52
502126,Home Purchase,251.53
502126,Working Capital,251.52
502127,Working Capital,1372.92
502127,Business Expansion,1372.93
502128,Business Expansion,123712.49
502129,Business Expansion,86811.58
502130,Working Capital,1358.91
502130,Business Expansion,1358.9
502130,Equipment Purchase,1358.91
502131,Debt Consolidation,194.84
502132,Working Capital,551.61
502132,Vehicle Purchase,551.61
502133,Business Expansion,11866.7
502134,Debt Consolidation,584.77
502135,Business Expansion,122749.27
502136,Working Capital,3104.0
502137,Real Estate Purchase,1292.9
502138,Working Capital,13260.51
502138,Working Capital,13260.51
502139,Working Capital,629.41
502140,Working Capital,2824.36
502141,Working Capital,2700.09
502142,Real Estate Purchase,1018.03
502143,Business Expansion,922.5
502144,Home Purchase,1698.32
502145,Working Capital,12187.49
502145,Debt Consolidation,12187.49
502146,Working Capital,1502.3
502147,Personal Consumption,456.55
502148,Business Expansion,3051.68
502149,Business Expansion,36916.1
502150,Vehicle Purchase,1524.5
502151,Vehicle Purchase,1328.33
502152,Debt Consolidation,824.99
502153,Debt Consolidation,828.16
502154,Debt Consolidation,2665.04
502155,Equipment Purchase,58626.45
502155,Business Expansion,58626.44
502155,Working Capital,58626.45
502156,Working Capital,134296.13
502157,Real Estate Purchase,265.35
502158,Equipment Purchase,948.98
502159,Working Capital,2636.77
502160,Business Expansion,40929.94
502161,Construction,38508.24
502162,Business Expansion,779.91
502162,Construction,779.9
502162,Working Capital,779.91
502163,Vehicle Purchase,432.04
502164,Working Capital,46490.99
502164,Working Capital,46490.98
502165,Working Capital,862.68
502165,Construction,862.68
502165,Business Expansion,862.68
502166,Refinance,37994.96
502167,Refinance,3181.89
502168,Refinance,184835.73
502169,Refinance,2824.16
502170,Refinance,1114.66
502170,Refinance,1114.66
502170,Refinance,1114.67
502171,Refinance,14624.64
502171,Refinance,14624.63
502172,Refinance,14482.78
502173,Refinance,43635.87
502174,Refinance,2322.01
502175,Refinance,2456.21
502176,Refinance,29606.27
502177,Refinance,821.31
502177,Refinance,821.32
502177,Refinance,821.31
502178,Refinance,2524.33
502179,Refinance,83832.34
502180,Refinance,20944.42
502181,Refinance,41039.48
502182,Refinance,3882.49
502183,Refinance,73715.68
502184,Refinance,10295.83
502185,Refinance,2708.69
502186,Refinance,25238.24
502187,Refinance,26018.13
502188,Refinance,2262.9
502189,Refinance,124206.4
502190,Refinance,2584.03
502191,Refinance,3922.25
502192,Refinance,34260.13
502193,Refinance,170063.99
502194,Equipment Purchase,31006.71
502195,Business Expansion,4043.49
502196,Equipment Purchase,114229.36
502197,Personal Consumption,231.41
502198,Equipment Purchase,3148.52
502199,Working Capital,6629.17
502199,Business Expansion,6629.16
502199,Construction,6629.17
502200,Vehicle Purchase,1183.15
502201,Business Expansion,58759.25
502201,Working Capital,58759.24
502202,Working Capital,89747.22
502203,Working Capital,438.51
502203,Real Estate Purchase,438.52
502204,Real Estate Purchase,1420.75
502205,Business Expansion,1206.76
502205,Construction,1206.75
502206,Working Capital,170.45
502207,Working Capital,2113.51
502208,Business Expansion,37026.64
502209,Construction,3241.81
502210,Equipment Purchase,4099.56
502211,Business Expansion,81950.38
502212,Business Expansion,4166.18
502213,Equipment Purchase,12662.84
502213,Working Capital,12662.84
502214,Working Capital,876.55
502214,Equipment Purchase,876.55
502215,Personal Consumption,1638.12
502216,Real Estate Purchase,1598.6
502217,Equipment Purchase,10264.35
502218,Debt Consolidation,130022.34
502219,Equipment Purchase,135124.52
502220,Personal Consumption,1697.81
502221,Working Capital,863.71
502221,Working Capital,863.71
502222,Working Capital,17222.71
502223,Business Expansion,3494.92
502224,Business Expansion,18145.79
502225,Equipment Purchase,4243.23
502226,Business Expansion,35667.22
502227,Working Capital,14777.29
502228,Working Capital,28561.43
502229,Construction,125688.84
502230,Business Expansion,115.92
502230,Equipment Purchase,115.91
502230,Working Capital,115.92
502231,Business Expansion,967.1
502232,Vehicle Purchase,785.57
502232,Working Capital,785.56
502233,Business Expansion,3120.31
502234,Debt Consolidation,785.78
502235,Debt Consolidation,3504.94
502236,Home Purchase,179.85
502237,Business Expansion,2521.55
502238,Working Capital,13108.46
502238,Working Capital,13108.46
502239,Equipment Purchase,3129.34
502240,Business Expansion,70341.19
502241,Personal Consumption,173.24
502241,Working Capital,173.24
502241,Debt Consolidation,173.23
502242,Working Capital,19237.86
502243,Business Expansion,91753.49
502243,Working Capital,91753.49
502244,Business Expansion,3893.74
502245,Construction,11694.29
502246,Working Capital,1342.83
502246,Business Expansion,1342.83
502247,Construction,154971.64
502248,Home Purchase,730.12
502249,Working Capital,2793.88
502250,Business Expansion,9860.15
502250,Construction,9860.15
502251,Working Capital,23121.53
502252,Working Capital,21274.17
502253,Equipment Purchase,3130.83
502254,Equipment Purchase,86155.71
502254,Working Capital,86155.72
502255,Debt Consolidation,636.42
502256,Debt Consolidation,346.2
502256,Working Capital,346.2
502256,Personal Consumption,346.21
502257,Equipment Purchase,2910.55
502257,Working Capital,2910.55
502258,Business Expansion,6921.65
502259,Debt Consolidation,1078.04
502259,Working Capital,1078.04
502260,Business Expansion,11423.7
502261,Equipment Purchase,7518.14
502261,Working Capital,7518.13
502262,Business Expansion,28231.2
502263,Working Capital,5734.48
502263,Construction,5734.48
502264,Working Capital,718.49
502264,Working Capital,718.5
502264,Equipment Purchase,718.49
502265,Business Expansion,320.09
502266,Debt Consolidation,63079.95
502266,Working Capital,63079.95
502267,Working Capital,564.24
502267,Vehicle Purchase,564.23
502268,Business Expansion,4421.63
502269,Business Expansion,15757.64
502270,Working Capital,11521.0
502271,Debt Consolidation,3549.12
502272,Working Capital,476.9
502273,Real Estate Purchase,1591.28
502274,Business Expansion,120901.85
502275,Construction,3602.61
502276,Working Capital,6732.84
502277,Debt Consolidation,152.34
502278,Equipment Purchase,32823.75
502279,Working Capital,2090.27
502280,Business Expansion,3312.6
502281,Working Capital,12306.09
502281,Business Expansion,12306.1
502282,Debt Consolidation,503.73
502283,Business Expansion,50235.96
502284,Business Expansion,887.22
502284,Working Capital,887.22
502284,Equipment Purchase,887.21
502285,Debt Consolidation,1432.15
502286,Vehicle Purchase,1216.85
502287,Business Expansion,1720.49
502288,Working Capital,75.58
502288,Debt Consolidation,75.58
502288,Personal Consumption,75.58
502289,Debt Consolidation,13716.93
502289,Working Capital,13716.93
502290,Construction,1968.67
502291,Debt Consolidation,111765.12
502292,Business Expansion,4363.07
502293,Working Capital,2753.47
502294,Real Estate Purchase,1665.81
502295,Debt Consolidation,1804.64
502296,Vehicle Purchase,626.52
502297,Real Estate Purchase,1015.46
502298,Business Expansion,13370.09
502299,Business Expansion,427.11
502300,Working Capital,44890.78
502300,Debt Consolidation,44890.78
502301,Construction,135664.16
502302,Working Capital,155792.55
502303,Personal Consumption,674.02
502304,Real Estate Purchase,899.51
502305,Equipment Purchase,3689.42
502306,Debt Consolidation,31270.93
502307,Business Expansion,3743.88
502308,Working Capital,4099.38
502309,Construction,2307.34
502310,Working Capital,1798.64
502311,Debt Consolidation,7330.51
502312,Equipment Purchase,37253.62
502313,Working Capital,2024.49
502314,Business Expansion,2460.25
502315,Working Capital,1178.67
502315,Working Capital,1178.68
502316,Equipment Purchase,1531.0
502317,Business Expansion,14059.02
502318,Working Capital,1481.83
502319,Business Expansion,7098.85
502320,Home Purchase,161.81
502321,Working Capital,144917.17
502322,Equipment Purchase,2113.09
502322,Business Expansion,2113.09
502323,Debt Consolidation,119511.61
502324,Debt Consolidation,129100.36
502325,Equipment Purchase,2647.97
502326,Equipment Purchase,20043.29
502327,Working Capital,706.98
502327,Equipment Purchase,706.98
502327,Business Expansion,706.99
502328,Business Expansion,80698.58
502329,Business Expansion,31891.88
502330,Business Expansion,35753.95
502331,Business Expansion,4311.2
502332,Business Expansion,2252.41
502333,Working Capital,3511.03
502334,Business Expansion,812.83
502335,Vehicle Purchase,394.07
502336,Equipment Purchase,2651.88
502337,Working Capital,7321.63
502338,Equipment Purchase,4363.42
502339,Equipment Purchase,4286.31
502340,Debt Consolidation,22821.65
502341,Working Capital,42437.15
502341,Debt Consolidation,42437.15
502342,Construction,2225.76
502343,Equipment Purchase,1464.39
502344,Working Capital,818.48
502344,Vehicle Purchase,818.48
502345,Business Expansion,2390.58
502346,Working Capital,69.53
502346,Business Expansion,69.53
502346,Equipment Purchase,69.52
502347,Business Expansion,1342.02
502347,Equipment Purchase,1342.02
502347,Working Capital,1342.01
502348,Working Capital,2774.77
502349,Equipment Purchase,792.19
502350,Personal Consumption,844.37
502350,Debt Consolidation,844.37
502351,Home Purchase,1220.68
502352,Real Estate Purchase,1694.79
502353,Debt Consolidation,1458.42
502354,Working Capital,1326.23
502355,Working Capital,134.96
502355,Business Expansion,134.96
502355,Working Capital,134.97
502356,Business Expansion,12975.42
502357,Business Expansion,1728.67
502358,Real Estate Purchase,1455.21
502359,Debt Consolidation,1305.44
502360,Vehicle Purchase,1539.29
502361,Debt Consolidation,231.56
502362,Home Purchase,135.14
502362,Working Capital,135.14
502362,Real Estate Purchase,135.14
502363,Working Capital,435.63
502363,Debt Consolidation,435.64
502363,Personal Consumption,435.63
502364,Equipment Purchase,872.94
502364,Working Capital,872.94
502365,Business Expansion,204963.7
502366,Business Expansion,23830.09
502367,Business Expansion,1101.71
502368,Vehicle Purchase,637.42
502369,Vehicle Purchase,1083.96
502370,Debt Consolidation,747.56
502370,Working Capital,747.56
502371,Business Expansion,3705.48
502372,Business Expansion,188287.82
502373,Business Expansion,16992.73
502374,Equipment Purchase,2396.73
502375,Working Capital,1530.84
502375,Business Expansion,1530.83
502376,Working Capital,3447.53
502376,Construction,3447.52
502376,Business Expansion,3447.53
502377,Vehicle Purchase,1425.26
502378,Business Expansion,4572.71
502379,Business Expansion,109338.68
502380,Equipment Purchase,1099.9
502380,Business Expansion,1099.89
502380,Working Capital,1099.9
502381,Business Expansion,2932.02
502382,Business Expansion,2641.53
502383,Business Expansion,2993.12
502384,Construction,29067.2
502385,Working Capital,83211.36
502385,Business Expansion,83211.36
502386,Vehicle Purchase,1467.5
502387,Construction,14776.55
502388,Working Capital,1641.82
502389,Equipment Purchase,22903.73
502390,Working Capital,8228.64
502390,Debt Consolidation,8228.64
502391,Business Expansion,1328.43
502392,Business Expansion,2394.25
502393,Working Capital,1194.58
502393,Debt Consolidation,1194.57
502394,Vehicle Purchase,657.53
502395,Business Expansion,447.28
502396,Home Purchase,1407.76
502397,Equipment Purchase,3291.24
502398,Equipment Purchase,1535.27
502399,Home Purchase,545.71
502399,Real Estate Purchase,545.7
502399,Working Capital,545.71
502400,Working Capital,3043.65
502401,Working Capital,11193.08
502401,Business Expansion,11193.07
502402,Business Expansion,4279.41
502403,Working Capital,1215.93
502404,Debt Consolidation,1290.72
502404,Working Capital,1290.72
502405,Business Expansion,35088.29
502406,Business Expansion,15310.75
502407,Business Expansion,4672.43
502408,Business Expansion,2831.45
502409,Business Expansion,17081.05
502410,Vehicle Purchase,50.0
502410,Working Capital,50.0
502411,Equipment Purchase,62642.02
502412,Debt Consolidation,14317.91
502413,Working Capital,3272.34
502414,Business Expansion,2860.85
502415,Equipment Purchase,2106.69
502416,Business Expansion,2876.24
502417,Equipment Purchase,110.67
502417,Working Capital,110.67
502417,Working Capital,110.67
502418,Working Capital,51824.75
502419,Equipment Purchase,151925.31
502420,Working Capital,147.37
502421,Business Expansion,896.95
502422,Business Expansion,2719.33
502423,Business Expansion,1077.26
502424,Working Capital,3980.7
502425,Working Capital,5067.81
502425,Business Expansion,5067.8
502426,Debt Consolidation,166587.07
502427,Vehicle Purchase,140.18
502428,Working Capital,5398.08
502428,Equipment Purchase,5398.09
502428,Business Expansion,5398.08
502429,Working Capital,688.79
502430,Business Expansion,3811.07
502431,Business Expansion,185089.14
502432,Business Expansion,11048.08
502432,Working Capital,11048.08
502432,Equipment Purchase,11048.07
502433,Construction,33645.79
502434,Working Capital,2944.58
502434,Equipment Purchase,2944.58
502434,Working Capital,2944.58
502435,Home Purchase,1737.14
502436,Equipment Purchase,933.45
502437,Home Purchase,1336.77
502438,Vehicle Purchase,1053.03
502439,Construction,2153.1
502440,Real Estate Purchase,1640.74
502441,Real Estate Purchase,117.94
502441,Working Capital,117.94
502441,Home Purchase,117.95
502442,Business Expansion,11757.08
502442,Construction,11757.08
502442,Working Capital,11757.07
502443,Equipment Purchase,3816.91
502444,Home Purchase,1377.72
502445,Working Capital,36977.6
502446,Working Capital,1910.4
502446,Business Expansion,1910.4
502447,Construction,192715.97
502448,Personal Consumption,826.62
502448,Debt Consolidation,826.63
502449,Working Capital,3959.7
502450,Business Expansion,67037.79
502451,Working Capital,22883.87
502451,Business Expansion,22883.86
502452,Working Capital,1045.45
502453,Business Expansion,16017.76
502454,Working Capital,124960.12
502455,Equipment Purchase,31138.66
502456,Working Capital,12911.27
502456,Equipment Purchase,12911.27
502456,Working Capital,12911.27
502457,Debt Consolidation,3568.24
502458,Working Capital,10219.99
502459,Business Expansion,24863.82
502460,Working Capital,308.3
502460,Equipment Purchase,308.3
502460,Business Expansion,308.31
502461,Equipment Purchase,1745.5
502462,Working Capital,14642.93
502462,Business Expansion,14642.94
502463,Construction,37729.16
502463,Working Capital,37729.16
502463,Business Expansion,37729.16
502464,Debt Consolidation,90925.3
502464,Working Capital,90925.3
502465,Real Estate Purchase,1115.15
502466,Debt Consolidation,36493.78
502466,Working Capital,36493.77
502467,Business Expansion,4225.11
502468,Business Expansion,61967.08
502468,Equipment Purchase,61967.08
502468,Working Capital,61967.08
502469,Working Capital,2662.59
502470,Construction,21229.03
502471,Working Capital,11740.62
502471,Business Expansion,11740.61
502471,Construction,11740.62
502472,Business Expansion,23497.02
502472,Working Capital,23497.03
502472,Equipment Purchase,23497.02
502473,Debt Consolidation,65.02
502474,Business Expansion,31071.96
502475,Equipment Purchase,817.16
502476,Business Expansion,40002.87
502477,Debt Consolidation,31495.85
502478,Business Expansion,2698.32
502479,Working Capital,24609.08
502480,Business Expansion,2893.34
502481,Working Capital,2298.7
502482,Construction,194675.47
502483,Debt Consolidation,2013.62
502484,Equipment Purchase,383.81
502484,Business Expansion,383.81
502485,Equipment Purchase,4565.39
502486,Business Expansion,31314.19
502487,Real Estate Purchase,1473.83
502488,Working Capital,49096.81
502489,Personal Consumption,706.45
502489,Debt Consolidation,706.45
502490,Business Expansion,26824.1
502491,Business Expansion,4116.71
502492,Personal Consumption,934.53
502493,Vehicle Purchase,976.1
502494,Refinance,19054.76
502495,Refinance,18594.94
502496,Refinance,1342.55
502496,Refinance,1342.55
502496,Refinance,1342.56
502497,Refinance,7068.98
502498,Refinance,167879.16
502499,Refinance,9839.04
502500,Refinance,1978.15
502501,Refinance,2199.23
502502,Refinance,29097.78
502502,Refinance,29097.79
502502,Refinance,29097.78
502503,Refinance,9029.78
502503,Refinance,9029.78
502503,Refinance,9029.79
502504,Refinance,1095.98
502504,Refinance,1095.98
502505,Refinance,18724.65
502506,Refinance,3556.19
502507,Refinance,3113.46
502508,Refinance,3786.29
502509,Refinance,3273.22
502510,Refinance,2131.68
502511,Refinance,12277.69
502512,Refinance,16692.8
502513,Refinance,1093.48
502513,Refinance,1093.47
502513,Refinance,1093.48
502514,Refinance,3569.39
502515,Refinance,4337.76
502516,Refinance,115141.7
502517,Refinance,2296.23
502518,Refinance,13147.07
502519,Business Expansion,3543.36
502520,Equipment Purchase,2825.97
502521,Personal Consumption,1335.74
502522,Working Capital,55479.49
502522,Working Capital,55479.48
502523,Business Expansion,1325.65
502524,Vehicle Purchase,1120.84
502525,Working Capital,3088.52
502526,Business Expansion,1456.93
502527,Working Capital,16629.44
502528,Working Capital,1862.61
502529,Vehicle Purchase,501.76
502530,Vehicle Purchase,267.76
502531,Debt Consolidation,368.98
502532,Business Expansion,2154.22
502533,Business Expansion,34186.47
502534,Equipment Purchase,4108.45
502535,Equipment Purchase,990.02
502536,Real Estate Purchase,1701.74
502537,Vehicle Purchase,1465.26
502538,Debt Consolidation,20946.35
502539,Working Capital,73.69
502539,Home Purchase,73.69
502539,Real Estate Purchase,73.68
502540,Business Expansion,6602.09
502540,Equipment Purchase,6602.09
502540,Working Capital,6602.1
502541,Business Expansion,9115.41
502541,Equipment Purchase,9115.41
502541,Working Capital,9115.41
502542,Home Purchase,1232.12
502543,Equipment Purchase,408.46
502544,Business Expansion,33418.2
502545,Equipment Purchase,51110.89
502545,Business Expansion,51110.89
502545,Working Capital,51110.88
502546,Working Capital,4595.45
502547,Business Expansion,2187.66
502548,Personal Consumption,945.57
502549,Business Expansion,24300.29
502550,Equipment Purchase,19473.49
502551,Vehicle Purchase,810.02
502552,Vehicle Purchase,287.82
502553,Vehicle Purchase,804.25
502553,Working Capital,804.25
502554,Debt Consolidation,12605.39
502555,Working Capital,58900.94
502556,Debt Consolidation,1191.73
502557,Real Estate Purchase,625.7
502557,Home Purchase,625.7
502557,Working Capital,625.71
502558,Working Capital,161960.56
502559,Business Expansion,1692.84
502560,Equipment Purchase,6443.68
502560,Working Capital,6443.67
502560,Working Capital,6443.68
502561,Home Purchase,929.62
502562,Working Capital,3574.63
502563,Vehicle Purchase,1681.16
502564,Construction,50972.62
502565,Home Purchase,976.29
502566,Debt Consolidation,2556.22
502567,Equipment Purchase,4161.19
502568,Working Capital,29442.66
502569,Working Capital,2459.3
502570,Home Purchase,1511.62
502571,Working Capital,4592.92
502572,Business Expansion,2130.75
502573,Working Capital,28264.18
502574,Vehicle Purchase,658.35
502574,Working Capital,658.34
502575,Vehicle Purchase,138.92
502576,Business Expansion,1728.76
502577,Business Expansion,12222.5
502577,Construction,12222.5
502578,Business Expansion,2511.0
502579,Working Capital,677.57
502580,Debt Consolidation,1529.24
502581,Vehicle Purchase,1542.97
502582,Equipment Purchase,442.12
502582,Business Expansion,442.12
502582,Working Capital,442.12
502583,Working Capital,63184.73
502584,Business Expansion,3709.72
502585,Equipment Purchase,30026.25
502586,Equipment Purchase,22676.12
502587,Business Expansion,81.48
502588,Equipment Purchase,4233.23
502589,Equipment Purchase,93875.2
502590,Working Capital,24962.17
502591,Business Expansion,2597.33
502592,Vehicle Purchase,593.92
502592,Working Capital,593.92
502593,Working Capital,67275.59
502593,Working Capital,67275.59
502594,Working Capital,14608.94
502594,Business Expansion,14608.94
502595,Construction,29124.88
502596,Business Expansion,429.41
502597,Vehicle Purchase,1500.27
502598,Construction,7083.99
502599,Construction,2631.28
502600,Business Expansion,27834.29
502601,Working Capital,277.66
502601,Working Capital,277.65
502601,Equipment Purchase,277.66
502602,Business Expansion,2096.64
502603,Business Expansion,16204.07
502604,Equipment Purchase,129906.25
502605,Equipment Purchase,1177.45
502605,Working Capital,1177.45
502605,Business Expansion,1177.46
502606,Business Expansion,2208.71
502607,Equipment Purchase,2440.22
502608,Real Estate Purchase,1404.91
502609,Business Expansion,3692.66
502610,Business Expansion,9281.9
502611,Debt Consolidation,25303.81
502612,Working Capital,2585.99
502613,Business Expansion,213.24
502614,Working Capital,12643.35
502615,Vehicle Purchase,1552.04
502616,Construction,4584.28
502617,Equipment Purchase,15680.75
502617,Business Expansion,15680.74
502618,Working Capital,1953.4
502619,Equipment Purchase,836.96
502619,Business Expansion,836.96
502619,Working Capital,836.97
502620,Equipment Purchase,3816.23
502621,Debt Consolidation,2484.21
502622,Working Capital,1361.66
502622,Business Expansion,1361.67
502623,Vehicle Purchase,1196.16
502624,Debt Consolidation,30013.55
502625,Debt Consolidation,2471.32
502626,Business Expansion,30589.48
502627,Vehicle Purchase,1683.2
502628,Debt Consolidation,1953.11
502629,Business Expansion,17052.48
502630,Debt Consolidation,17387.3
502631,Equipment Purchase,201931.41
502632,Working Capital,43494.28
502633,Debt Consolidation,99261.08
502634,Real Estate Purchase,418.23
502634,Home Purchase,418.23
502634,Working Capital,418.22
502635,Vehicle Purchase,1852.72
502636,Equipment Purchase,2266.4
502637,Working Capital,13283.28
502637,Working Capital,13283.29
502638,Business Expansion,433.85
502639,Business Expansion,75871.52
502640,Equipment Purchase,923.84
502640,Working Capital,923.84
502640,Business Expansion,923.84
502641,Vehicle Purchase,1404.88
502642,Home Purchase,917.94
502643,Working Capital,29184.75
502643,Working Capital,29184.75
502644,Home Purchase,1232.05
502645,Working Capital,1740.81
502646,Business Expansion,3092.29
502647,Personal Consumption,363.81
502648,Debt Consolidation,1258.65
502649,Working Capital,1642.47
502649,Debt Consolidation,1642.47
502650,Business Expansion,159636.89
502651,Business Expansion,3420.74
502652,Working Capital,7193.84
502653,Working Capital,9844.09
502654,Debt Consolidation,2585.91
502655,Vehicle Purchase,1662.54
502656,Working Capital,30630.48
502656,Working Capital,30630.48
502657,Working Capital,7042.34
502657,Debt Consolidation,7042.34
502658,Debt Consolidation,17434.63
502659,Business Expansion,2832.33
502660,Real Estate Purchase,797.36
502661,Working Capital,3356.19
502662,Debt Consolidation,777.52
502663,Debt Consolidation,14173.97
502664,Working Capital,3389.07
502665,Personal Consumption,10.32
502665,Working Capital,10.32
502665,Debt Consolidation,10.32
502666,Equipment Purchase,294.46
502667,Working Capital,3291.18
502667,Business Expansion,3291.18
502668,Working Capital,2157.51
502669,Working Capital,4678.79
502670,Construction,2068.5
502671,Business Expansion,120456.06
502672,Equipment Purchase,285.63
502673,Debt Consolidation,272.86
502674,Equipment Purchase,984.65
502675,Real Estate Purchase,1791.31
502676,Working Capital,34837.63
502677,Vehicle Purchase,75.11
502677,Working Capital,75.1
502678,Vehicle Purchase,681.56
502679,Business Expansion,4343.86
502680,Equipment Purchase,3687.61
502681,Business Expansion,27430.07
502681,Working Capital,27430.07
502682,Business Expansion,22548.88
502683,Working Capital,2586.98
502684,Vehicle Purchase,782.68
502685,Business Expansion,140632.88
502686,Working Capital,2376.2
502687,Business Expansion,2232.88
502688,Working Capital,22988.46
502688,Working Capital,22988.46
502689,Business Expansion,3302.57
502690,Working Capital,24887.29
502690,Debt Consolidation,24887.29
502691,Vehicle Purchase,904.57
502692,Personal Consumption,83.92
502693,Working Capital,59870.76
502693,Business Expansion,59870.76
502694,Debt Consolidation,9073.34
502695,Real Estate Purchase,730.46
502696,Debt Consolidation,12895.81
502697,Business Expansion,43606.51
502698,Business Expansion,3610.45
502699,Business Expansion,927.75
502699,Working Capital,927.76
502699,Equipment Purchase,927.75
502700,Construction,103579.29
502701,Working Capital,26845.65
502702,Equipment Purchase,21295.69
502703,Business Expansion,7879.51
502704,Working Capital,2366.06
502705,Equipment Purchase,2903.66
502706,Working Capital,141104.3
502707,Working Capital,28549.58
502708,Equipment Purchase,668.19
502709,Debt Consolidation,21010.89
502710,Business Expansion,25796.78
502711,Home Purchase,1688.39
502712,Business Expansion,28777.08
502713,Construction,2858.26
502714,Working Capital,9239.87
