DEAL_NO,CLIENT_NO,APPLICATION_ID,ORIGINATION_DATE,LOAN_SEGMENT,LOAN_PRODUCT,APPROVED_AMOUNT_GEL,CLOSURE_REASON,CLOSURE_DATE
503322,907489,100003322,2020-11-30,SMM,Developer,36090.8,Matured,2023-12-31
503323,901289,100003323,2020-11-30,SML,Mortgage,1568.68,Refinanced,2025-10-31
503324,904916,100003324,2020-11-30,SML,Developer,2624.88,Matured,2023-04-30
503325,908113,100003325,2020-11-30,SML,Developer,3462.94,Matured,2023-10-31
503326,907011,100003326,2020-11-30,RB,Digital,327.39,Matured,2024-02-29
503327,905086,100003327,2020-11-30,SML,Trade Finance,3600.25,Refinanced,2021-04-30
503328,906469,100003328,2020-11-30,RB,Digital,220.93,Matured,2021-12-31
503329,906218,100003329,2020-11-30,SMM,Trade Finance,7254.76,Matured,2022-05-31
503330,901715,100003330,2020-11-30,RB,Auto Loan,1283.29,Paid Off Early,2022-06-30
503331,906178,100003331,2020-11-30,SMM,Agro,5835.07,Matured,2023-03-31
503332,902200,100003332,2020-11-30,SML,Developer,4567.49,Refinanced,2023-09-30
503333,908777,100003333,2020-11-30,CB,Trade Finance,69100.37,Matured,2022-07-31
503334,904329,100003334,2020-11-30,CB,Working Capital,137724.01,Paid Off Early,2020-12-31
503335,907069,100003335,2020-11-30,RB,Auto Loan,91.94,Matured,2024-04-30
503336,908153,100003336,2020-11-30,SML,Working Capital,4707.7,Matured,2023-03-31
503337,907385,100003337,2020-11-30,SMM,Working Capital,42311.37,Refinanced,2022-05-31
503338,901648,100003338,2020-11-30,CB,Working Capital,186689.75,Matured,2022-02-28
503339,905552,100003339,2020-11-30,SMM,Agro,24278.75,Refinanced,2022-04-30
503340,904223,100003340,2020-11-30,SMM,Agro,13220.07,Matured,2023-04-30
503341,904874,100003341,2020-11-30,SML,Corporate Term Loan,4532.48,Refinanced,2023-05-31
503342,905458,100003342,2020-11-30,CB,Corporate Term Loan,138497.02,Paid Off Early,2021-05-31
503343,903043,100003343,2020-11-30,CB,Developer,88195.99,Refinanced,2021-02-28
503344,906267,100003344,2020-11-30,SML,Trade Finance,4208.19,Matured,2022-02-28
503345,903620,100003345,2020-11-30,CB,Trade Finance,63124.09,Refinanced,2022-02-28
503346,908960,100003346,2020-11-30,RB,Consumer,1057.55,Paid Off Early,2022-04-30
503347,908946,100003347,2020-11-30,CB,Corporate Term Loan,204996.22,Matured,2024-06-30
503348,900334,100003348,2020-11-30,RB,Consumer,345.83,Matured,2026-05-31
503349,905617,100003349,2020-11-30,SMM,Developer,35565.44,Matured,2025-05-31
503350,905435,100003350,2020-11-30,RB,Digital,1530.37,Matured,2023-03-31
503351,901459,100003351,2020-11-30,CB,Corporate Term Loan,174719.44,Refinanced,2021-02-28
503352,901554,100003352,2020-11-30,RB,Mortgage,756.34,Paid Off Early,2025-10-31
503353,905198,100003353,2020-11-30,SML,Working Capital,4140.95,Matured,2021-08-31
503354,902359,100003354,2020-11-30,SMM,Developer,14519.84,Matured,2025-08-31
503355,900174,100003355,2020-11-30,SML,Corporate Term Loan,2447.08,Paid Off Early,2020-12-31
503356,902260,100003356,2020-11-30,SML,Agro,4203.43,Refinanced,2021-06-30
503357,900638,100003357,2020-11-30,SMM,Corporate Term Loan,40197.61,Paid Off Early,2021-02-28
503358,905138,100003358,2020-11-30,SML,Corporate Term Loan,2465.89,Written Off,2023-01-31
503359,904742,100003359,2020-11-30,RB,Auto Loan,775.32,Paid Off Early,2024-03-31
503360,903192,100003360,2020-11-30,SML,Agro,3062.46,Paid Off Early,2022-07-31
503361,900086,100003361,2020-11-30,RB,Consumer,162.42,Matured,2025-09-30
503362,902901,100003362,2020-11-30,RB,Consumer,1051.78,Matured,2023-01-31
503363,908091,100003363,2020-11-30,CB,Developer,120101.65,Paid Off Early,2023-02-28
503364,903585,100003364,2020-11-30,SMM,Working Capital,15064.17,Matured,2022-09-30
503365,902017,100003365,2020-11-30,SMM,Agro,15710.61,Matured,2022-10-31
503366,900417,100003366,2020-11-30,RB,Auto Loan,480.63,,
503367,906923,100003367,2020-11-30,RB,Consumer,1188.77,Matured,2026-05-31
503368,908170,100003368,2020-11-30,RB,Digital,382.6,Matured,2023-09-30
503369,904085,100003369,2020-11-30,RB,Mortgage,218.95,Paid Off Early,2021-06-30
503370,907997,100003370,2020-11-30,RB,Digital,593.64,Matured,2023-04-30
503371,907524,100003371,2020-11-30,RB,Digital,713.41,Matured,2023-09-30
503372,902039,100003372,2020-11-30,SML,Developer,2928.49,Matured,2023-10-31
503373,903378,100003373,2020-11-30,RB,Mortgage,408.23,Paid Off Early,2021-09-30
503374,902591,100003374,2020-11-30,SML,Agro,3826.1,Matured,2023-01-31
503375,902987,100003375,2020-11-30,SML,Agro,2427.7,Refinanced,2021-01-31
503376,905603,100003376,2020-11-30,CB,Corporate Term Loan,94613.17,Refinanced,2022-07-31
503377,903483,100003377,2020-11-30,SMM,Agro,35424.77,Matured,2022-10-31
503378,903672,100003378,2020-11-30,SMM,Trade Finance,27642.7,Matured,2022-05-31
503379,904052,100003379,2020-11-30,SML,Corporate Term Loan,3436.61,Paid Off Early,2022-01-31
503380,903149,100003380,2020-11-30,SML,Working Capital,3191.02,Refinanced,2021-03-31
503381,908718,100003381,2020-11-30,RB,Auto Loan,917.98,Matured,2025-10-31
503382,900380,100003382,2020-11-30,SML,Corporate Term Loan,4581.63,Paid Off Early,2023-02-28
503383,907027,100003383,2020-11-30,SMM,Corporate Term Loan,10139.18,Paid Off Early,2024-01-31
503384,900663,100003384,2020-11-30,SML,Working Capital,2607.34,Matured,2021-08-31
503385,903540,100003385,2020-11-30,CB,Developer,132128.57,Written Off,2024-06-30
503386,901762,100003386,2020-11-30,SML,Mortgage,1647.85,Refinanced,2021-04-30
503387,907038,100003387,2020-11-30,SML,Developer,4632.45,Matured,2024-09-30
503388,902571,100003388,2020-11-30,RB,Mortgage,66.75,,
503389,907568,100003389,2020-11-30,RB,Auto Loan,1782.46,,
503390,901120,100003390,2020-11-30,SML,Developer,4635.39,Refinanced,2023-09-30
503391,908036,100003391,2020-11-30,SMM,Developer,32615.57,Paid Off Early,2022-03-31
503392,904044,100003392,2020-11-30,RB,Consumer,1654.34,Matured,2024-07-31
503393,901382,100003393,2020-11-30,SML,Trade Finance,3407.46,Matured,2021-07-31
503394,903928,100003394,2020-11-30,RB,Digital,145.88,Paid Off Early,2022-02-28
503395,907381,100003395,2020-11-30,RB,Auto Loan,1546.08,Matured,2023-10-31
503396,900383,100003396,2020-11-30,SML,Working Capital,4225.35,Matured,2022-01-31
503397,904035,100003397,2020-11-30,RB,Consumer,1023.85,Matured,2024-10-31
503398,902758,100003398,2020-11-30,CB,Developer,134862.7,Matured,2024-09-30
503399,900424,100003399,2020-11-30,CB,Corporate Term Loan,64921.64,Refinanced,2023-06-30
503400,902522,100003400,2020-11-30,RB,Auto Loan,575.19,Matured,2026-05-31
503401,907761,100003401,2020-11-30,RB,Auto Loan,350.47,Paid Off Early,2024-10-31
503402,900857,100003402,2020-11-30,SML,Developer,2895.72,Matured,2024-12-31
503403,900713,100003403,2020-11-30,RB,Digital,1818.09,Matured,2023-07-31
503404,903975,100003404,2020-11-30,CB,Trade Finance,102738.73,Matured,2021-11-30
503405,900191,100003405,2020-11-30,SML,Agro,2524.69,Matured,2022-08-31
503406,903712,100003406,2020-11-30,SML,Corporate Term Loan,2119.25,Matured,2024-01-31
503407,907086,100003407,2020-11-30,RB,Consumer,298.01,Paid Off Early,2021-06-30
503408,900656,100003408,2020-11-30,RB,Mortgage,1549.71,,
503409,907315,100003409,2020-11-30,SMM,Corporate Term Loan,14693.92,Refinanced,2025-09-30
503410,901969,100003410,2020-11-30,SML,Working Capital,3060.73,Matured,2021-10-31
503411,907821,100003411,2020-11-30,CB,Trade Finance,121905.84,Matured,2022-02-28
503412,900641,100003412,2020-11-30,SML,Trade Finance,2928.58,Matured,2022-09-30
503413,901648,100003413,2020-11-30,CB,Developer,173455.06,Refinanced,2021-05-31
503414,906579,100003414,2020-11-30,RB,Auto Loan,1025.09,Paid Off Early,2022-12-31
503415,901087,100003415,2020-11-30,CB,Working Capital,185597.12,Matured,2022-08-31
503416,901814,100003416,2020-11-30,SMM,Trade Finance,11377.12,Matured,2022-05-31
503417,903434,100003417,2020-11-30,CB,Trade Finance,128024.44,Paid Off Early,2021-01-31
503418,902700,100003418,2020-11-30,SML,Corporate Term Loan,2205.46,Paid Off Early,2026-06-30
503419,902058,100003419,2020-11-30,SML,Agro,2490.26,Matured,2022-02-28
503420,905293,100003420,2020-11-30,SMM,Agro,16128.82,Matured,2022-03-31
503421,901907,100003421,2020-11-30,RB,Auto Loan,384.56,Paid Off Early,2024-03-31
503422,906766,100003422,2020-11-30,SML,Working Capital,3707.45,Matured,2022-01-31
503423,901897,100003423,2020-11-30,SML,Developer,4224.9,Paid Off Early,2021-11-30
503424,905416,100003424,2020-11-30,RB,Auto Loan,277.43,Matured,2023-06-30
503425,901958,100003425,2020-11-30,RB,Auto Loan,908.5,Paid Off Early,2022-01-31
503426,904439,100003426,2020-11-30,SML,Developer,4503.24,Matured,2025-09-30
503427,906857,100003427,2020-11-30,SML,Working Capital,4400.75,Refinanced,2021-07-31
503428,900751,100003428,2020-11-30,SMM,Trade Finance,16128.41,Refinanced,2022-04-30
503429,907458,100003429,2020-11-30,SML,Developer,2231.03,Matured,2023-04-30
503430,903131,100003430,2020-11-30,SMM,Agro,16689.67,Matured,2023-03-31
503431,904078,100003431,2020-11-30,SMM,Corporate Term Loan,42241.41,Paid Off Early,2021-09-30
503432,902696,100003432,2020-11-30,RB,Auto Loan,393.6,Paid Off Early,2021-10-31
503433,907250,100003433,2020-11-30,SMM,Working Capital,12540.92,Refinanced,2021-01-31
503434,905972,100003434,2020-11-30,SML,Working Capital,2561.42,Matured,2022-06-30
503435,904628,100003435,2020-11-30,SMM,Trade Finance,29547.67,Paid Off Early,2021-10-31
503436,902202,100003436,2020-11-30,RB,Digital,1161.72,Matured,2023-05-31
503437,907835,100003437,2020-11-30,RB,Consumer,1407.46,Matured,2025-08-31
503438,905129,100003438,2020-11-30,CB,Corporate Term Loan,165332.06,Matured,2023-05-31
503439,907266,100003439,2020-11-30,CB,Developer,161461.42,Matured,2023-11-30
503440,901261,100003440,2020-11-30,SMM,Agro,7772.31,Refinanced,2021-09-30
503441,900298,100003441,2020-11-30,CB,Corporate Term Loan,198711.57,Refinanced,2021-09-30
503442,903916,100003442,2020-11-30,RB,Auto Loan,331.26,Matured,2023-06-30
503443,903927,100003443,2020-11-30,SMM,Trade Finance,16447.71,Matured,2021-11-30
503444,901487,100003444,2020-11-30,SML,Corporate Term Loan,3877.28,Matured,2023-01-31
503445,903257,100003445,2020-11-30,SML,Developer,2391.54,Refinanced,2022-08-31
503446,901584,100003446,2020-11-30,RB,Consumer,44.67,Paid Off Early,2025-02-28
503447,905426,100003447,2020-11-30,SML,Working Capital,3010.18,Matured,2022-03-31
503448,908486,100003448,2020-11-30,SML,Agro,3210.39,Refinanced,2021-07-31
503449,903890,100003449,2020-11-30,SML,Developer,4489.52,Refinanced,2023-07-31
503450,907932,100003450,2020-11-30,SMM,Agro,13910.2,Matured,2023-03-31
503451,906811,100003451,2020-11-30,SML,Developer,2220.46,Refinanced,2022-06-30
503452,908081,100003452,2020-11-30,SMM,Trade Finance,13754.32,Paid Off Early,2022-06-30
503453,904479,100003453,2020-11-30,CB,Trade Finance,197955.62,Matured,2021-07-31
503454,902256,100003454,2020-11-30,CB,Developer,67799.17,Refinanced,2020-12-31
503455,907784,100003455,2020-12-31,CB,Working Capital,190486.62,Paid Off Early,2021-04-30
503456,906835,100003456,2020-12-31,SML,Agro,2349.85,Matured,2022-09-30
503457,901884,100003457,2020-12-31,CB,Trade Finance,164386.77,Matured,2021-07-31
503458,908710,100003458,2020-12-31,CB,Developer,84984.69,Refinanced,2022-07-31
503459,900576,100003459,2020-12-31,SML,Agro,2248.15,Refinanced,2021-02-28
503460,903661,100003460,2020-12-31,SMM,Corporate Term Loan,16012.54,Refinanced,2025-05-31
503461,902779,100003461,2020-12-31,SML,Agro,2232.36,Matured,2024-06-30
503462,904966,100003462,2020-12-31,SML,Corporate Term Loan,3207.72,Refinanced,2025-06-30
503463,907706,100003463,2020-12-31,SMM,Trade Finance,27975.85,Matured,2021-08-31
503464,900725,100003464,2020-12-31,SML,Agro,2552.72,Refinanced,2023-08-31
503465,906802,100003465,2020-12-31,SML,Working Capital,3669.77,Paid Off Early,2021-08-31
503466,904223,100003466,2020-12-31,SMM,Working Capital,18001.45,Matured,2022-06-30
503467,902322,100003467,2020-12-31,SML,Trade Finance,4550.14,Matured,2021-10-31
503468,904088,100003468,2020-12-31,SMM,Working Capital,27262.34,Matured,2021-11-30
503469,902856,100003469,2020-12-31,SML,Trade Finance,4683.63,Matured,2023-01-31
503470,900606,100003470,2020-12-31,CB,Developer,89192.77,Paid Off Early,2023-07-31
503471,904913,100003471,2020-12-31,SML,Working Capital,4610.27,Matured,2022-12-31
503472,908467,100003472,2020-12-31,CB,Trade Finance,121842.98,Matured,2022-05-31
503473,907600,100003473,2020-12-31,CB,Developer,111552.13,Paid Off Early,2021-02-28
503474,900980,100003474,2020-12-31,CB,Working Capital,79038.58,Matured,2022-02-28
503475,902002,100003475,2020-12-31,SML,Trade Finance,3737.2,Paid Off Early,2021-03-31
503476,907480,100003476,2020-12-31,SMM,Agro,25081.62,Matured,2022-09-30
503477,902591,100003477,2020-12-31,SML,Working Capital,4534.92,Matured,2022-09-30
503478,903505,100003478,2020-12-31,SML,Working Capital,4207.43,Matured,2021-12-31
503479,901097,100003479,2020-12-31,SMM,Trade Finance,20548.5,Matured,2022-10-31
503480,908923,100003480,2020-12-31,CB,Corporate Term Loan,68066.5,Paid Off Early,2023-11-30
503481,902041,100003481,2020-12-31,SML,Developer,3545.38,Matured,2025-02-28
503482,908046,100003482,2020-12-31,RB,Mortgage,1263.03,,
503483,905186,100003483,2020-12-31,SMM,Trade Finance,32525.72,Matured,2022-01-31
503484,906307,100003484,2020-12-31,SML,Trade Finance,3911.03,Matured,2022-01-31
503485,906392,100003485,2020-12-31,SMM,Developer,32111.81,Refinanced,2021-10-31
503486,900816,100003486,2020-12-31,SMM,Agro,39670.27,Matured,2022-05-31
503487,901764,100003487,2020-12-31,SMM,Trade Finance,25281.29,Matured,2021-09-30
503488,906205,100003488,2020-12-31,RB,Consumer,487.23,Matured,2024-07-31
503489,905760,100003489,2020-12-31,SMM,Developer,9067.98,Written Off,2023-08-31
503490,905976,100003490,2020-12-31,CB,Working Capital,173508.66,Matured,2022-09-30
503491,908513,100003491,2020-12-31,RB,Auto Loan,1843.91,Matured,2024-08-31
503492,903469,100003492,2020-12-31,CB,Working Capital,110269.13,Paid Off Early,2021-10-31
503493,906474,100003493,2020-12-31,SML,Developer,3329.44,Paid Off Early,2021-01-31
503494,901476,100003494,2020-12-31,SMM,Developer,40612.17,Refinanced,2021-09-30
503495,901720,100003495,2020-12-31,SMM,Working Capital,19385.5,Paid Off Early,2021-09-30
503496,907605,100003496,2020-12-31,SML,Agro,3368.7,Matured,2023-03-31
503497,905603,100003497,2020-12-31,SMM,Working Capital,32091.62,Matured,2022-03-31
503498,907259,100003498,2020-12-31,RB,Consumer,1231.18,Matured,2025-01-31
503499,902083,100003499,2020-12-31,SML,Corporate Term Loan,3546.41,Refinanced,2023-06-30
503500,908094,100003500,2020-12-31,RB,Auto Loan,333.45,Matured,2023-04-30
503501,906814,100003501,2020-12-31,SML,Working Capital,4711.16,Matured,2022-11-30
503502,902159,100003502,2020-12-31,SMM,Corporate Term Loan,29308.99,Matured,2024-04-30
503503,901795,100003503,2020-12-31,CB,Developer,154771.92,Paid Off Early,2024-04-30
503504,905765,100003504,2020-12-31,SML,Corporate Term Loan,3679.67,Paid Off Early,2021-12-31
503505,903299,100003505,2020-12-31,CB,Trade Finance,91742.36,Matured,2022-06-30
503506,902804,100003506,2020-12-31,RB,Mortgage,1463.74,,
503507,906630,100003507,2020-12-31,SMM,Developer,24792.28,Matured,2025-01-31
503508,907285,100003508,2020-12-31,CB,Trade Finance,157394.17,Paid Off Early,2021-04-30
503509,905519,100003509,2020-12-31,RB,Mortgage,1350.83,,
503510,900211,100003510,2020-12-31,SML,Developer,2177.5,Paid Off Early,2022-12-31
503511,906050,100003511,2020-12-31,SMM,Trade Finance,12026.04,Matured,2021-12-31
503512,901707,100003512,2020-12-31,RB,Consumer,288.44,Matured,2022-05-31
503513,902466,100003513,2020-12-31,RB,Digital,1077.23,Paid Off Early,2021-06-30
503514,903997,100003514,2020-12-31,CB,Trade Finance,159116.76,Matured,2021-08-31
503515,904126,100003515,2020-12-31,SML,Corporate Term Loan,3069.7,Refinanced,2022-04-30
503516,900983,100003516,2020-12-31,CB,Working Capital,109898.32,Matured,2022-09-30
503517,904638,100003517,2020-12-31,SML,Corporate Term Loan,3585.79,Refinanced,2021-05-31
503518,900351,100003518,2020-12-31,CB,Trade Finance,157303.0,Matured,2021-10-31
503519,905225,100003519,2020-12-31,SML,Corporate Term Loan,4349.02,Matured,2023-07-31
503520,902880,100003520,2020-12-31,RB,Mortgage,1125.22,Paid Off Early,2023-08-31
503521,900174,100003521,2020-12-31,SMM,Working Capital,31313.19,Matured,2021-10-31
503522,905802,100003522,2020-12-31,SMM,Trade Finance,17919.24,Matured,2021-07-31
503523,900548,100003523,2020-12-31,SML,Developer,2812.57,Matured,2024-05-31
503524,904916,100003524,2020-12-31,SML,Developer,2164.28,Matured,2023-10-31
503525,901751,100003525,2020-12-31,SML,Developer,3630.55,Matured,2023-07-31
503526,904201,100003526,2020-12-31,RB,Digital,1669.4,Paid Off Early,2022-07-31
503527,907554,100003527,2020-12-31,CB,Corporate Term Loan,116655.62,Refinanced,2023-05-31
503528,908803,100003528,2020-12-31,RB,Consumer,580.99,Matured,2024-05-31
503529,903214,100003529,2020-12-31,RB,Digital,874.25,Matured,2023-11-30
503530,908854,100003530,2020-12-31,CB,Corporate Term Loan,53132.35,Paid Off Early,2024-11-30
503531,900769,100003531,2020-12-31,RB,Auto Loan,1435.22,Paid Off Early,2021-02-28
503532,907253,100003532,2020-12-31,SMM,Agro,16674.1,Paid Off Early,2022-06-30
503533,902700,100003533,2020-12-31,SML,Corporate Term Loan,3769.75,,
503534,902231,100003534,2020-12-31,SMM,Corporate Term Loan,15427.4,Refinanced,2022-05-31
503535,907402,100003535,2020-12-31,SML,Working Capital,3918.28,Matured,2022-09-30
503536,904921,100003536,2020-12-31,SMM,Working Capital,28692.66,Paid Off Early,2021-05-31
503537,905405,100003537,2020-12-31,RB,Mortgage,1851.53,,
503538,907689,100003538,2020-12-31,SML,Agro,3577.36,Matured,2023-09-30
503539,907692,100003539,2020-12-31,SML,Working Capital,3502.34,Matured,2022-02-28
503540,904030,100003540,2020-12-31,SML,Agro,3449.18,Written Off,2023-06-30
503541,907924,100003541,2020-12-31,RB,Auto Loan,1628.97,Paid Off Early,2021-12-31
503542,906713,100003542,2020-12-31,SMM,Corporate Term Loan,12690.12,Matured,2023-06-30
503543,902197,100003543,2020-12-31,SMM,Corporate Term Loan,36523.37,,
503544,907625,100003544,2020-12-31,RB,Consumer,126.92,Paid Off Early,2022-05-31
503545,903309,100003545,2020-12-31,SML,Developer,4459.57,Matured,2024-08-31
503546,904591,100003546,2020-12-31,SMM,Developer,25670.82,Matured,2023-09-30
503547,906320,100003547,2020-12-31,SML,Corporate Term Loan,4613.87,Refinanced,2025-04-30
503548,902313,100003548,2020-12-31,RB,Auto Loan,888.96,Paid Off Early,2024-07-31
503549,908981,100003549,2020-12-31,SML,Agro,4559.23,Matured,2023-07-31
503550,905265,100003550,2020-12-31,SML,Corporate Term Loan,4577.68,Matured,2023-07-31
503551,904820,100003551,2020-12-31,SML,Auto Loan,1842.21,Paid Off Early,2025-05-31
503552,908968,100003552,2020-12-31,CB,Corporate Term Loan,162084.21,Paid Off Early,2021-03-31
503553,901979,100003553,2020-12-31,SML,Developer,2840.44,Refinanced,2024-02-29
503554,908874,100003554,2020-12-31,SMM,Trade Finance,9490.24,Matured,2021-11-30
503555,904743,100003555,2020-12-31,CB,Corporate Term Loan,101465.87,Refinanced,2023-07-31
503556,902129,100003556,2020-12-31,SMM,Trade Finance,19262.43,Matured,2021-12-31
503557,900340,100003557,2020-12-31,SML,Working Capital,3308.28,Matured,2022-06-30
503558,903585,100003558,2020-12-31,SMM,Trade Finance,42128.02,Matured,2021-07-31
503559,901540,100003559,2020-12-31,SML,Working Capital,3648.02,Matured,2022-01-31
503560,900314,100003560,2020-12-31,RB,Mortgage,1427.28,,
503561,907870,100003561,2020-12-31,SML,Corporate Term Loan,4096.41,Refinanced,2021-07-31
503562,900934,100003562,2020-12-31,SML,Developer,2566.9,Matured,2025-02-28
503563,906827,100003563,2020-12-31,SML,Working Capital,4091.37,Paid Off Early,2022-01-31
503564,903315,100003564,2020-12-31,SMM,Trade Finance,42297.33,Matured,2022-04-30
503565,902623,100003565,2020-12-31,SML,Trade Finance,4447.18,Matured,2022-03-31
503566,902121,100003566,2020-12-31,RB,Auto Loan,1356.36,Matured,2025-07-31
503567,905079,100003567,2020-12-31,RB,Auto Loan,556.82,Matured,2025-05-31
503568,900614,100003568,2020-12-31,SML,Digital,1710.4,Paid Off Early,2022-05-31
503569,905239,100003569,2020-12-31,SML,Agro,3997.43,Matured,2023-07-31
503570,902230,100003570,2020-12-31,CB,Developer,197266.66,Matured,2023-10-31
503571,902749,100003571,2020-12-31,SML,Trade Finance,2595.91,Matured,2022-02-28
503572,902589,100003572,2020-12-31,SML,Trade Finance,3933.26,Refinanced,2021-05-31
503573,903119,100003573,2020-12-31,SMM,Corporate Term Loan,20439.56,Paid Off Early,2022-09-30
503574,904333,100003574,2020-12-31,SML,Agro,4244.36,Refinanced,2021-01-31
503575,903033,100003575,2020-12-31,SML,Developer,2886.27,Matured,2025-02-28
503576,904025,100003576,2020-12-31,CB,Working Capital,199946.8,Matured,2022-02-28
503577,902401,100003577,2020-12-31,SML,Trade Finance,2857.95,Matured,2021-10-31
503578,904271,100003578,2020-12-31,SMM,Agro,29013.25,Matured,2023-04-30
503579,902882,100003579,2020-12-31,RB,Mortgage,429.68,Written Off,2024-04-30
503580,902199,100003580,2020-12-31,SML,Corporate Term Loan,3676.17,Refinanced,2022-04-30
503581,905338,100003581,2020-12-31,RB,Consumer,1127.17,Matured,2023-09-30
503582,904891,100003582,2020-12-31,SML,Working Capital,3807.88,Matured,2022-05-31
503583,907715,100003583,2020-12-31,SMM,Trade Finance,26211.57,Matured,2022-06-30
503584,901248,100003584,2020-12-31,SMM,Working Capital,33177.78,Matured,2021-07-31
503585,901751,100003585,2020-12-31,CB,Developer,53712.92,Paid Off Early,2021-12-31
503586,908624,100003586,2020-12-31,CB,Corporate Term Loan,66586.78,,
503587,906342,100003587,2020-12-31,SML,Digital,1720.37,Matured,2022-10-31
503588,901575,100003588,2020-12-31,SMM,Agro,17805.2,Matured,2023-11-30
503589,904389,100003589,2020-12-31,CB,Developer,195459.14,Refinanced,2022-10-31
503590,907837,100003590,2020-12-31,CB,Corporate Term Loan,207324.77,Refinanced,2022-06-30
503591,907563,100003591,2020-12-31,SMM,Working Capital,16465.42,Matured,2022-11-30
503592,905744,100003592,2020-12-31,SMM,Agro,38220.22,Matured,2025-06-30
503593,901404,100003593,2020-12-31,RB,Mortgage,633.29,,
503594,904511,100003594,2020-12-31,SML,Working Capital,2985.52,Matured,2022-05-31
503595,907168,100003595,2020-12-31,RB,Auto Loan,831.62,Paid Off Early,2026-02-28
503596,901546,100003596,2020-12-31,SML,Working Capital,2340.77,Matured,2022-03-31
503597,903885,100003597,2020-12-31,RB,Digital,323.81,Paid Off Early,2021-04-30
503598,908244,100003598,2020-12-31,RB,Consumer,528.45,Matured,2026-03-31
503599,905463,100003599,2020-12-31,SML,Corporate Term Loan,3710.91,Paid Off Early,2025-02-28
503600,900475,100003600,2020-12-31,RB,Consumer,777.71,Matured,2025-09-30
503601,908136,100003601,2020-12-31,RB,Auto Loan,358.18,Matured,2026-02-28
503602,907664,100003602,2020-12-31,RB,Consumer,1682.3,Matured,2025-08-31
503603,904351,100003603,2020-12-31,RB,Mortgage,756.4,,
503604,906151,100003604,2020-12-31,SML,Trade Finance,4086.39,Paid Off Early,2021-06-30
503605,901278,100003605,2020-12-31,SML,Developer,3911.8,Paid Off Early,2022-07-31
503606,901844,100003606,2020-12-31,SML,Trade Finance,3748.02,Matured,2022-09-30
503607,902687,100003607,2020-12-31,SMM,Working Capital,8623.5,Matured,2021-07-31
503608,905402,100003608,2020-12-31,SML,Corporate Term Loan,2998.29,Refinanced,2022-12-31
503609,904103,100003609,2020-12-31,SML,Developer,3052.01,Refinanced,2023-02-28
503610,904533,100003610,2020-12-31,SML,Agro,2124.3,Paid Off Early,2021-11-30
503611,906342,100003611,2020-12-31,SML,Auto Loan,1698.0,Refinanced,2021-04-30
503612,908071,100003612,2020-12-31,CB,Working Capital,57938.93,Matured,2022-04-30
503613,901511,100003613,2020-12-31,SML,Developer,3394.57,Refinanced,2023-02-28
503614,902148,100003614,2020-12-31,SMM,Trade Finance,9669.25,Matured,2021-07-31
503615,905884,100003615,2020-12-31,RB,Mortgage,220.72,,
503616,906035,100003616,2020-12-31,RB,Consumer,59.8,Paid Off Early,2022-02-28
503617,901280,100003617,2020-12-31,RB,Consumer,1512.7,Paid Off Early,2021-12-31
503618,901748,100003618,2020-12-31,SMM,Working Capital,30376.54,Matured,2021-09-30
503619,903545,100003619,2020-12-31,CB,Working Capital,177711.25,Matured,2021-12-31
503620,905739,100003620,2020-12-31,SMM,Trade Finance,9787.76,Matured,2022-06-30
503621,907779,100003621,2020-12-31,SML,Consumer,1644.37,Matured,2023-11-30
503622,908539,100003622,2020-12-31,RB,Consumer,659.52,Matured,2023-04-30
503623,905722,100003623,2020-12-31,SMM,Corporate Term Loan,34728.57,Paid Off Early,2022-03-31
503624,908488,100003624,2020-12-31,SML,Working Capital,3881.48,Matured,2021-09-30
503625,903145,100003625,2020-12-31,CB,Working Capital,65691.75,Matured,2022-11-30
503626,900230,100003626,2020-12-31,RB,Consumer,522.26,Matured,2022-06-30
503627,903596,100003627,2020-12-31,RB,Consumer,605.68,Matured,2023-01-31
503628,900400,100003628,2020-12-31,RB,Consumer,223.4,Matured,2023-11-30
503629,905467,100003629,2020-12-31,SML,Agro,4721.84,Refinanced,2022-01-31
503630,905465,100003630,2020-12-31,SML,Corporate Term Loan,3089.85,Refinanced,2022-10-31
503631,908093,100003631,2020-12-31,SMM,Trade Finance,25361.15,Refinanced,2021-02-28
503632,905648,100003632,2020-12-31,SMM,Working Capital,29043.86,Matured,2021-11-30
503633,901337,100003633,2020-12-31,SML,Agro,3852.95,Paid Off Early,2022-07-31
503634,907709,100003634,2020-12-31,RB,Digital,542.22,Paid Off Early,2021-08-31
503635,900068,100003635,2020-12-31,SML,Developer,4028.66,Matured,2024-04-30
503636,906306,100003636,2020-12-31,RB,Mortgage,1309.43,,
503637,900559,100003637,2020-12-31,SML,Developer,3916.61,Matured,2023-08-31
503638,905010,100003638,2020-12-31,SML,Developer,4572.49,Matured,2023-02-28
503639,904857,100003639,2020-12-31,SML,Developer,2389.75,Refinanced,2022-11-30
503640,903417,100003640,2020-12-31,CB,Trade Finance,69502.63,Matured,2022-09-30
503641,907393,100003641,2020-12-31,RB,Auto Loan,37.4,,
503642,908316,100003642,2020-12-31,SMM,Trade Finance,7541.73,Matured,2022-01-31
503643,907551,100003643,2020-12-31,SML,Trade Finance,2325.38,Matured,2022-01-31
503644,907156,100003644,2020-12-31,RB,Consumer,314.33,Matured,2024-03-31
