REFINANCE_DATE,DEAL_NO,REFINANCED_DEAL_NO,REFINANCE_AMOUNT
2022-05-31,509147,502225,3922.44
2022-05-31,509148,503337,35708.88
2022-05-31,509149,503534,12924.61
2022-05-31,509150,503824,3214.88
2022-05-31,509151,503860,18320.28
2022-05-31,509152,504123,16640.38
2022-05-31,509153,504338,15526.95
2022-05-31,509142,500056,13307.76
2022-05-31,509155,504540,22786.72
2022-05-31,509154,504514,4607.03
2022-05-31,509164,506487,140448.88
2022-05-31,509163,506263,102774.98
2022-05-31,509162,505663,3852.79
2022-05-31,509161,505447,35898.19
2022-05-31,509165,506554,2241.58
2022-05-31,509159,505227,3638.43
2022-05-31,509158,504995,63960.54
2022-05-31,509157,504752,22880.87
2022-05-31,509156,504708,2897.1
2022-05-31,509160,505324,121647.92
2022-06-30,509525,507763,191216.91
2022-06-30,509517,506865,2922.93
2022-06-30,509518,506958,4126.77
2022-06-30,509519,507212,139135.27
2022-06-30,509520,507411,3960.81
2022-06-30,509521,507462,2195.98
2022-06-30,509522,507574,36976.57
2022-06-30,509523,507640,17351.27
2022-06-30,509524,507661,19706.36
2022-06-30,509526,507789,2168.71
2022-06-30,509531,508455,41831.72
2022-06-30,509527,508227,123782.9
2022-06-30,509528,508256,1756.61
2022-06-30,509529,508326,21318.31
2022-06-30,509530,508441,21451.64
2022-06-30,509532,508525,42870.67
2022-06-30,509533,508543,18714.68
2022-06-30,509534,508546,136694.78
2022-06-30,509535,509324,3357.41
2022-06-30,509516,506846,2443.44
2022-06-30,509536,509445,17902.17
2022-06-30,509515,506807,3707.1
2022-06-30,509502,502866,21828.15
2022-06-30,509513,506051,50675.13
2022-06-30,509514,506373,29861.4
2022-06-30,509493,500288,9986.82
2022-06-30,509494,500524,8083.05
2022-06-30,509496,501079,1786.01
2022-06-30,509497,501208,2811.45
2022-06-30,509498,501524,18051.07
2022-06-30,509499,501842,1202.25
2022-06-30,509500,502213,23954.78
2022-06-30,509501,502374,2078.17
2022-06-30,509495,500789,13956.82
2022-06-30,509504,503590,191281.03
2022-06-30,509505,503799,31023.17
2022-06-30,509506,503803,3410.92
2022-06-30,509507,504285,70920.44
2022-06-30,509508,504958,20813.49
2022-06-30,509509,504980,74183.84
2022-06-30,509510,505500,17394.49
2022-06-30,509511,505914,187113.36
2022-06-30,509512,505940,2586.7
2022-06-30,509503,503451,1608.16
2022-07-31,509880,508260,9694.13
2022-07-31,509879,508200,3934.6
2022-07-31,509878,507930,135644.49
2022-07-31,509877,507792,16991.3
2022-07-31,509876,507465,191402.51
2022-07-31,509875,507366,37224.96
2022-07-31,509870,506720,85467.06
2022-07-31,509873,507224,7330.67
2022-07-31,509872,507214,8703.01
2022-07-31,509871,506774,13040.59
2022-07-31,509869,506637,2055.99
2022-07-31,509881,508271,36492.81
2022-07-31,509874,507267,142694.98
2022-07-31,509882,508327,105840.92
2022-07-31,509892,509153,28757.84
2022-07-31,509884,508352,167355.67
2022-07-31,509885,508452,18352.97
2022-07-31,509886,508603,1818.34
2022-07-31,509887,508617,1485.37
2022-07-31,509888,508734,79533.64
2022-07-31,509889,508836,49722.12
2022-07-31,509890,508855,29521.5
2022-07-31,509891,509050,11134.49
2022-07-31,509868,506605,6123.81
2022-07-31,509893,509212,4449.75
2022-07-31,509894,509374,12146.71
2022-07-31,509895,509381,18230.35
2022-07-31,509896,509667,4117.76
2022-07-31,509883,508342,37866.15
2022-07-31,509867,506535,2956.85
2022-07-31,509866,506417,3259.14
2022-07-31,509865,506268,60587.02
2022-07-31,509837,500203,18098.25
2022-07-31,509838,500509,2699.39
2022-07-31,509839,500715,2388.48
2022-07-31,509840,500915,1723.8
2022-07-31,509842,502015,20359.62
2022-07-31,509843,502402,2905.43
2022-07-31,509844,502499,8521.58
2022-07-31,509845,502768,14706.28
2022-07-31,509846,503187,72619.48
2022-07-31,509847,503255,30484.55
2022-07-31,509848,503376,65486.88
2022-07-31,509849,503458,81356.41
2022-07-31,509850,503683,59828.72
2022-07-31,509841,501394,34668.23
2022-07-31,509852,503996,2152.27
2022-07-31,509851,503763,2088.29
2022-07-31,509864,506228,6645.3
2022-07-31,509863,506210,3559.38
2022-07-31,509861,506031,7287.35
2022-07-31,509860,505835,11051.44
2022-07-31,509859,505762,31227.01
2022-07-31,509862,506133,32256.69
2022-07-31,509857,505117,34368.7
2022-07-31,509856,504917,72597.88
2022-07-31,509855,504720,3467.55
2022-07-31,509854,504337,24927.17
2022-07-31,509853,504019,7484.03
2022-07-31,509858,505699,3266.26
2022-08-31,510220,507503,19180.04
2022-08-31,510227,508651,2150.53
2022-08-31,510221,507688,2976.71
2022-08-31,510222,507702,2123.55
2022-08-31,510223,508118,10341.45
2022-08-31,510224,508184,22440.23
2022-08-31,510225,508368,101313.27
2022-08-31,510226,508481,33039.52
2022-08-31,510228,508761,142571.81
2022-08-31,510235,509647,28226.69
2022-08-31,510230,509132,35733.0
2022-08-31,510231,509203,110935.85
2022-08-31,510232,509429,48556.57
2022-08-31,510233,509528,1704.17
2022-08-31,510234,509630,2620.14
2022-08-31,510236,509809,2148.45
2022-08-31,510238,510070,32864.12
2022-08-31,510219,507345,1937.47
2022-08-31,510229,508907,26464.93
2022-08-31,510218,507278,26235.09
2022-08-31,510237,510023,8434.2
2022-08-31,510216,506430,14652.83
2022-08-31,510197,500861,155063.71
2022-08-31,510198,501041,1923.66
2022-08-31,510199,502087,897.91
2022-08-31,510200,502439,1615.01
2022-08-31,510201,502463,94744.96
2022-08-31,510202,502481,1968.9
2022-08-31,510203,502585,23107.94
2022-08-31,510204,502711,1448.81
2022-08-31,510205,503445,1405.31
2022-08-31,510217,506580,1958.47
2022-08-31,510207,504140,4559.74
2022-08-31,510208,505173,11114.73
2022-08-31,510209,505185,83213.17
2022-08-31,510210,505273,2769.08
2022-08-31,510211,505555,2883.81
2022-08-31,510212,505627,16994.82
2022-08-31,510213,505802,3463.21
2022-08-31,510214,505878,3789.21
2022-08-31,510215,506093,2567.79
2022-08-31,510206,503881,152839.49
2022-09-30,510569,507768,2650.29
2022-09-30,510568,507720,1221.25
2022-09-30,510567,507563,18669.65
2022-09-30,510563,507007,4286.03
2022-09-30,510565,507121,3621.33
2022-09-30,510564,507116,8341.07
2022-09-30,510570,507776,4893.34
2022-09-30,510566,507295,3255.28
2022-09-30,510571,507894,2094.45
2022-09-30,510576,508802,177536.14
2022-09-30,510573,508183,17709.32
2022-09-30,510574,508267,61451.23
2022-09-30,510575,508687,14632.75
2022-09-30,510577,509684,2310.12
2022-09-30,510578,509721,3601.85
2022-09-30,510579,510410,1482.99
2022-09-30,510580,510425,33611.12
2022-09-30,510561,506763,3210.16
2022-09-30,510572,507917,128849.58
2022-09-30,510560,506543,69725.64
2022-09-30,510562,506978,3480.54
2022-09-30,510558,506095,4103.22
2022-09-30,510559,506502,127202.17
2022-09-30,510539,500450,47263.53
2022-09-30,510540,500570,1962.13
2022-09-30,510541,500619,1010.56
2022-09-30,510542,502930,25221.92
2022-09-30,510544,503877,52396.63
2022-09-30,510545,503945,1587.94
2022-09-30,510546,504350,88928.14
2022-09-30,510547,504412,22373.81
2022-09-30,510548,504438,11871.53
2022-09-30,510543,503818,84282.0
2022-09-30,510550,504809,176079.81
2022-09-30,510551,504991,11357.77
2022-09-30,510552,505018,1473.51
2022-09-30,510553,505346,23971.36
2022-09-30,510554,505615,19049.92
2022-09-30,510555,505644,2848.94
2022-09-30,510556,505654,2573.01
2022-09-30,510549,504662,3773.51
2022-09-30,510557,506008,2590.5
2022-10-31,510918,508831,21613.1
2022-10-31,510917,508782,87228.18
2022-10-31,510916,508527,31906.24
2022-10-31,510915,508463,2213.51
2022-10-31,510914,508246,28820.08
2022-10-31,510911,507943,85820.49
2022-10-31,510912,508043,205345.38
2022-10-31,510910,507934,7009.52
2022-10-31,510909,507912,12756.18
2022-10-31,510919,509070,3927.05
2022-10-31,510913,508059,1666.75
2022-10-31,510920,509116,3121.14
2022-10-31,510929,510517,4135.3
2022-10-31,510922,509308,17372.09
2022-10-31,510923,509866,4149.99
2022-10-31,510924,510078,2363.7
2022-10-31,510932,510863,2855.26
2022-10-31,510925,510090,38450.32
2022-10-31,510926,510128,4939.82
2022-10-31,510927,510149,3982.39
2022-10-31,510928,510457,2092.06
2022-10-31,510930,510586,3661.25
2022-10-31,510931,510822,1715.26
2022-10-31,510908,507589,2302.72
2022-10-31,510921,509247,25063.49
2022-10-31,510907,507507,101525.18
2022-10-31,510888,503230,27515.93
2022-10-31,510905,506936,2615.84
2022-10-31,510906,507119,2330.9
2022-10-31,510881,500499,1621.98
2022-10-31,510882,500590,3547.76
2022-10-31,510883,501436,21878.32
2022-10-31,510884,502264,1690.73
2022-10-31,510885,502925,126577.01
2022-10-31,510887,502970,2621.36
2022-10-31,510889,503265,34413.74
2022-10-31,510890,503589,189080.95
2022-10-31,510891,503630,2460.51
2022-10-31,510892,504325,1434.5
2022-10-31,510886,502947,1629.44
2022-10-31,510894,505299,66125.85
2022-10-31,510904,506782,1964.39
2022-10-31,510893,505021,117392.61
2022-10-31,510903,506773,4116.31
2022-10-31,510902,506772,3639.55
2022-10-31,510900,506407,2829.04
2022-10-31,510901,506485,13355.69
2022-10-31,510898,505905,2262.94
2022-10-31,510897,505675,77499.4
2022-10-31,510896,505637,22740.99
2022-10-31,510895,505504,1651.9
2022-10-31,510899,506338,3827.76
2022-11-30,511271,509011,104916.69
2022-11-30,511268,508713,6733.82
2022-11-30,511270,509009,19371.61
2022-11-30,511269,508842,1559.39
2022-11-30,511267,508643,2621.99
2022-11-30,511261,507386,729.93
2022-11-30,511265,508140,8849.7
2022-11-30,511264,507618,29308.93
2022-11-30,511263,507479,15921.94
2022-11-30,511272,509195,4223.62
2022-11-30,511266,508270,4325.69
2022-11-30,511273,509231,2969.37
2022-11-30,511285,510920,2061.25
2022-11-30,511275,509534,145176.12
2022-11-30,511276,510142,4094.18
2022-11-30,511277,510185,172124.93
2022-11-30,511278,510386,2392.21
2022-11-30,511279,510399,83858.84
2022-11-30,511280,510535,1611.98
2022-11-30,511281,510550,124688.65
2022-11-30,511282,510558,3741.43
2022-11-30,511283,510798,23164.48
2022-11-30,511284,510800,16235.76
2022-11-30,511260,507334,2343.61
2022-11-30,511274,509239,3422.89
2022-11-30,511259,507276,1991.67
2022-11-30,511262,507432,3396.03
2022-11-30,511257,507222,9416.24
2022-11-30,511233,500334,1390.93
2022-11-30,511234,500786,30638.69
2022-11-30,511235,501458,15930.33
2022-11-30,511236,501819,7234.1
2022-11-30,511237,501997,41039.98
2022-11-30,511239,503639,1966.51
2022-11-30,511240,503740,2366.48
2022-11-30,511241,504242,18265.4
2022-11-30,511242,504317,15802.34
2022-11-30,511243,504345,2491.63
2022-11-30,511244,504728,6053.97
2022-11-30,511245,504795,1224.81
2022-11-30,511238,502160,26334.3
2022-11-30,511247,505060,3387.31
2022-11-30,511246,504826,856.5
2022-11-30,511256,507115,2001.69
2022-11-30,511258,507236,3706.05
2022-11-30,511255,506950,32588.43
2022-11-30,511253,506495,31619.91
2022-11-30,511254,506787,16762.51
2022-11-30,511252,506340,2930.05
2022-11-30,511251,505720,19701.52
2022-11-30,511250,505527,4197.36
2022-11-30,511249,505497,31459.37
2022-11-30,511248,505211,27228.15
2022-12-31,511628,508171,107942.22
2022-12-31,511631,508372,4912.19
2022-12-31,511630,508357,27369.81
2022-12-31,511629,508251,3048.77
2022-12-31,511632,508446,24456.71
2022-12-31,511627,508144,25637.58
2022-12-31,511621,507632,82540.61
2022-12-31,511625,508065,15284.1
2022-12-31,511624,508031,43743.62
2022-12-31,511623,507668,4290.4
2022-12-31,511622,507651,14904.27
2022-12-31,511620,507566,21385.46
2022-12-31,511633,508656,2450.46
2022-12-31,511626,508127,23823.84
2022-12-31,511634,509124,65561.28
2022-12-31,511647,511408,2182.57
2022-12-31,511636,509523,21394.27
2022-12-31,511637,509657,2348.35
2022-12-31,511638,509799,2573.85
2022-12-31,511639,509849,98144.64
2022-12-31,511640,510347,11627.17
2022-12-31,511641,510481,23579.8
2022-12-31,511642,510572,156042.5
2022-12-31,511643,510736,6024.18
2022-12-31,511644,510758,28559.87
2022-12-31,511645,510821,151585.77
2022-12-31,511646,511161,2389.52
2022-12-31,511619,507474,3533.82
2022-12-31,511648,511472,20687.53
2022-12-31,511649,511511,143663.18
2022-12-31,511635,509322,29989.71
2022-12-31,511618,506744,2268.16
2022-12-31,511616,506414,36253.43
2022-12-31,511590,502396,1101.31
2022-12-31,511586,500941,9782.9
2022-12-31,511587,501246,1586.89
2022-12-31,511588,501695,17429.21
2022-12-31,511589,501761,10218.01
2022-12-31,511617,506516,126263.27
2022-12-31,511591,502550,19473.49
2022-12-31,511592,502785,33040.35
2022-12-31,511593,502991,3039.59
2022-12-31,511594,503009,70631.4
2022-12-31,511595,503010,106980.33
2022-12-31,511597,503608,2815.92
2022-12-31,511598,503722,1642.22
2022-12-31,511599,503823,2885.59
2022-12-31,511600,504033,2078.56
2022-12-31,511596,503311,14435.56
2022-12-31,511602,504586,5973.39
2022-12-31,511615,506244,31081.43
2022-12-31,511614,506149,26352.18
2022-12-31,511601,504056,2569.52
2022-12-31,511612,505934,123568.72
2022-12-31,511611,505865,11013.29
2022-12-31,511610,505838,105147.37
2022-12-31,511609,505356,1885.03
2022-12-31,511613,506110,12181.67
2022-12-31,511607,505092,16210.73
2022-12-31,511606,504843,3887.42
2022-12-31,511605,504777,6730.48
2022-12-31,511604,504711,25437.73
2022-12-31,511603,504604,86334.57
2022-12-31,511608,505261,171858.44
2023-01-31,511984,510504,111196.44
2023-01-31,511976,508763,30880.01
2023-01-31,511977,509224,3708.58
2023-01-31,511978,509778,13396.31
2023-01-31,511979,509883,15628.19
2023-01-31,511980,510117,157316.56
2023-01-31,511981,510233,1941.0
2023-01-31,511982,510424,2268.75
2023-01-31,511983,510468,167336.57
2023-01-31,511985,510584,3890.45
2023-01-31,511975,508679,3963.36
2023-01-31,511987,511309,87253.63
2023-01-31,511988,511397,81597.35
2023-01-31,511989,511399,15436.25
2023-01-31,511990,511464,3520.94
2023-01-31,511991,511503,36866.74
2023-01-31,511992,511575,4626.67
2023-01-31,511993,511581,3771.26
2023-01-31,511994,511646,2984.55
2023-01-31,511996,511709,14312.03
2023-01-31,511997,511880,51762.23
2023-01-31,511986,511195,30455.81
2023-01-31,511974,508642,42477.67
2023-01-31,511995,511701,2617.92
2023-01-31,511972,508284,24543.88
2023-01-31,511950,500036,2017.65
2023-01-31,511951,501386,2899.24
2023-01-31,511973,508434,23478.21
2023-01-31,511952,502342,2225.76
2023-01-31,511953,502373,15983.73
2023-01-31,511954,502844,3443.06
2023-01-31,511956,504615,8196.54
2023-01-31,511957,504807,19452.22
2023-01-31,511958,504833,23936.14
2023-01-31,511959,505241,2130.72
2023-01-31,511960,505309,127780.87
2023-01-31,511955,504599,2159.4
2023-01-31,511962,505625,110736.68
2023-01-31,511961,505413,75467.7
2023-01-31,511970,507951,2484.11
2023-01-31,511969,507866,2725.4
2023-01-31,511968,507838,2843.14
2023-01-31,511967,507723,122452.32
2023-01-31,511971,507964,74325.14
2023-01-31,511965,506609,3558.97
2023-01-31,511964,505917,28891.84
2023-01-31,511963,505666,3438.3
2023-01-31,511966,507304,19793.77
2023-02-28,512335,510841,11433.79
2023-02-28,512326,509044,3268.0
2023-02-28,512327,509354,32208.33
2023-02-28,512328,509602,6814.44
2023-02-28,512329,509648,104712.96
2023-02-28,512330,509837,15712.11
2023-02-28,512331,509899,5330.33
2023-02-28,512332,509961,52087.45
2023-02-28,512333,510703,3290.67
2023-02-28,512334,510770,1438.49
2023-02-28,512336,510852,1872.11
2023-02-28,512348,512187,10428.55
2023-02-28,512338,510902,1960.73
2023-02-28,512339,510910,29061.05
2023-02-28,512340,511128,3739.73
2023-02-28,512341,511385,32682.89
2023-02-28,512342,511522,2485.78
2023-02-28,512343,511616,21818.3
2023-02-28,512344,511648,17343.88
2023-02-28,512345,511776,1494.54
2023-02-28,512346,511819,2505.66
2023-02-28,512347,512036,4134.4
2023-02-28,512325,509033,9957.59
2023-02-28,512337,510866,2017.95
2023-02-28,512324,509004,952.43
2023-02-28,512323,508787,132616.68
2023-02-28,512322,508697,10350.11
2023-02-28,512299,500693,4239.23
2023-02-28,512300,500794,147255.84
2023-02-28,512301,501952,2637.29
2023-02-28,512302,502244,2685.33
2023-02-28,512303,502318,926.05
2023-02-28,512304,502365,181456.3
2023-02-28,512305,502685,99349.05
2023-02-28,512306,502712,21806.48
2023-02-28,512307,503234,1938.99
2023-02-28,512308,503609,3035.14
2023-02-28,512309,503613,3380.02
2023-02-28,512298,500519,88626.18
2023-02-28,512311,504269,4502.7
2023-02-28,512312,504626,4463.82
2023-02-28,512313,505100,1587.61
2023-02-28,512314,505680,17467.34
2023-02-28,512315,506398,2041.6
2023-02-28,512316,506896,18708.35
2023-02-28,512317,507878,2645.14
2023-02-28,512318,507888,123955.7
2023-02-28,512319,508361,165985.0
2023-02-28,512320,508401,3529.83
2023-02-28,512321,508458,12681.03
2023-02-28,512310,503916,20073.55
2023-03-31,512685,511133,31801.92
2023-03-31,512684,510937,3379.76
2023-03-31,512683,510908,2050.1
2023-03-31,512682,510682,8878.91
2023-03-31,512677,509749,41004.56
2023-03-31,512680,510513,2132.81
2023-03-31,512679,510049,1808.74
2023-03-31,512678,509907,23006.09
2023-03-31,512686,511264,66783.29
2023-03-31,512681,510654,5961.27
2023-03-31,512687,511451,18529.73
2023-03-31,512693,511687,1398.59
2023-03-31,512689,511480,1373.65
2023-03-31,512690,511529,172129.88
2023-03-31,512691,511538,179885.55
2023-03-31,512692,511554,18552.42
2023-03-31,512694,511830,26727.34
2023-03-31,512695,511968,2547.87
2023-03-31,512699,512605,9652.02
2023-03-31,512696,512058,2681.28
2023-03-31,512697,512270,2834.64
2023-03-31,512698,512496,2042.75
2023-03-31,512676,509697,10123.48
2023-03-31,512688,511471,13070.42
2023-03-31,512675,509597,14890.89
2023-03-31,512652,505121,2880.44
2023-03-31,512673,509270,3712.42
2023-03-31,512674,509575,29869.94
2023-03-31,512649,500679,1179.08
2023-03-31,512650,502052,2312.51
2023-03-31,512651,502670,1674.97
2023-03-31,512653,505307,1175.6
2023-03-31,512655,505706,71701.71
2023-03-31,512656,506389,16179.47
2023-03-31,512657,507173,2519.21
2023-03-31,512658,507455,2428.34
2023-03-31,512659,507754,52938.42
2023-03-31,512660,507767,4727.02
2023-03-31,512654,505656,1184.9
2023-03-31,512662,508101,3923.55
2023-03-31,512672,509158,150319.52
2023-03-31,512661,508066,7578.76
2023-03-31,512671,509156,2989.64
2023-03-31,512670,509066,1159.08
2023-03-31,512668,508936,5217.77
2023-03-31,512669,509057,12434.69
2023-03-31,512667,508675,3543.67
2023-03-31,512666,508662,2297.11
2023-03-31,512665,508630,3322.9
2023-03-31,512664,508238,4192.28
2023-03-31,512663,508202,13503.5
2023-04-30,513042,511174,4188.12
2023-04-30,513045,511206,122379.34
2023-04-30,513044,511198,2352.73
2023-04-30,513043,511175,24107.76
2023-04-30,513046,511252,2230.02
2023-04-30,513041,511053,2860.29
2023-04-30,513036,510680,132054.09
2023-04-30,513039,510928,2566.64
2023-04-30,513038,510766,34574.68
2023-04-30,513037,510751,4362.29
2023-04-30,513035,510644,7898.01
2023-04-30,513034,510344,3151.38
2023-04-30,513047,511684,3198.74
2023-04-30,513040,510973,2845.86
2023-04-30,513048,511729,1931.79
2023-04-30,513060,512757,28713.72
2023-04-30,513050,511908,4327.22
2023-04-30,513051,511909,154050.97
2023-04-30,513052,511984,149452.18
2023-04-30,513053,512167,3339.58
2023-04-30,513054,512217,3109.95
2023-04-30,513055,512329,71712.06
2023-04-30,513056,512494,25296.07
2023-04-30,513057,512536,2667.53
2023-04-30,513058,512542,2181.67
2023-04-30,513059,512737,13650.73
2023-04-30,513061,512799,179418.1
2023-04-30,513062,512817,24416.68
2023-04-30,513063,512860,6935.34
2023-04-30,513033,510155,41581.58
2023-04-30,513049,511748,13651.85
2023-04-30,513032,509993,13454.69
2023-04-30,513012,507054,25026.54
2023-04-30,513030,509359,136355.83
2023-04-30,513031,509880,13128.63
2023-04-30,513000,501229,33221.52
2023-04-30,513001,501318,28269.94
2023-04-30,513002,501837,5441.38
2023-04-30,513003,502927,23142.04
2023-04-30,513004,504734,2004.74
2023-04-30,513005,505375,15734.45
2023-04-30,513006,505832,3194.23
2023-04-30,513007,505932,35969.4
2023-04-30,513009,506209,25405.2
2023-04-30,513010,506532,2015.8
2023-04-30,513011,506853,2784.38
2023-04-30,513013,507113,94819.29
2023-04-30,513014,507237,14941.26
2023-04-30,513008,506140,2379.6
2023-04-30,513016,508236,1465.32
2023-04-30,513029,509310,3124.32
2023-04-30,513015,507977,3071.89
2023-04-30,513027,509167,40495.89
2023-04-30,513026,509083,4244.75
2023-04-30,513025,509035,2995.01
2023-04-30,513024,508926,33808.12
2023-04-30,513023,508834,56159.36
2023-04-30,513028,509235,7669.43
2023-04-30,513021,508612,2984.7
2023-04-30,513020,508495,179656.58
2023-04-30,513019,508465,2868.11
2023-04-30,513018,508427,2505.74
2023-04-30,513017,508378,65727.36
2023-04-30,513022,508791,1947.69
2023-05-31,513409,511854,15359.66
2023-05-31,513408,511852,14712.74
2023-05-31,513407,511530,114155.36
2023-05-31,513406,511453,34889.27
2023-05-31,513405,511263,12268.94
2023-05-31,513404,511147,17499.64
2023-05-31,513401,510739,4145.9
2023-05-31,513402,510854,12160.84
2023-05-31,513400,510724,26073.84
2023-05-31,513399,510493,3019.24
2023-05-31,513398,510372,10909.46
2023-05-31,513410,511863,1617.09
2023-05-31,513403,511029,2247.8
2023-05-31,513411,512078,3818.05
2023-05-31,513426,513032,23727.47
2023-05-31,513413,512215,1680.37
2023-05-31,513427,513119,168829.68
2023-05-31,513397,510367,30727.74
2023-05-31,513425,512997,2975.28
2023-05-31,513424,512866,26923.5
2023-05-31,513423,512794,10646.62
2023-05-31,513422,512791,4332.83
2023-05-31,513412,512102,8273.91
2023-05-31,513421,512790,73531.47
2023-05-31,513419,512708,129823.75
2023-05-31,513418,512469,14852.08
2023-05-31,513417,512465,33554.03
2023-05-31,513416,512458,2564.12
2023-05-31,513415,512254,4303.98
2023-05-31,513414,512228,20760.38
2023-05-31,513420,512775,15105.03
2023-05-31,513396,510328,31866.3
2023-05-31,513391,509530,36433.05
2023-05-31,513394,510105,175433.18
2023-05-31,513364,500419,83095.95
2023-05-31,513365,501537,17440.42
2023-05-31,513366,501655,6895.74
2023-05-31,513395,510235,25120.89
2023-05-31,513368,501863,2344.71
2023-05-31,513369,503341,3947.87
2023-05-31,513370,503527,108791.7
2023-05-31,513371,503948,2737.63
2023-05-31,513372,503950,140661.74
2023-05-31,513373,504059,2417.83
2023-05-31,513374,504215,3006.88
2023-05-31,513375,505394,33905.73
2023-05-31,513376,505766,130958.9
2023-05-31,513377,505949,24898.19
2023-05-31,513367,501822,8376.75
2023-05-31,513379,506517,4329.66
2023-05-31,513378,506129,11381.75
2023-05-31,513393,509739,6568.84
2023-05-31,513390,509246,14101.88
2023-05-31,513389,509122,32477.33
2023-05-31,513388,508490,3284.59
2023-05-31,513387,508482,3462.98
2023-05-31,513392,509706,26035.58
2023-05-31,513385,508109,147062.78
2023-05-31,513384,508103,5676.78
2023-05-31,513383,508024,2178.76
2023-05-31,513382,507454,2293.32
2023-05-31,513381,506997,17309.59
2023-05-31,513386,508240,1941.9
2023-05-31,513380,506854,18711.37
2023-06-30,513760,511576,2904.81
2023-06-30,513759,511360,35556.19
2023-06-30,513758,511298,14302.07
2023-06-30,513757,510793,92591.72
2023-06-30,513755,510675,1173.62
2023-06-30,513754,510350,120493.43
2023-06-30,513753,510217,1771.25
2023-06-30,513761,511769,1908.77
2023-06-30,513756,510683,3761.61
2023-06-30,513762,511902,3029.56
2023-06-30,513770,513164,4238.98
2023-06-30,513764,512335,35889.5
2023-06-30,513765,512528,4116.82
2023-06-30,513766,512752,2088.2
2023-06-30,513767,512761,14461.53
2023-06-30,513768,512788,4573.01
2023-06-30,513769,513114,93524.16
2023-06-30,513771,513363,2411.75
2023-06-30,513772,513373,2133.58
2023-06-30,513773,513471,10963.31
2023-06-30,513774,513697,94053.4
2023-06-30,513763,512231,3147.06
2023-06-30,513752,509975,4477.97
2023-06-30,513749,509221,8180.39
2023-06-30,513750,509419,3507.18
2023-06-30,513751,509838,3677.41
2023-06-30,513728,501342,3368.69
2023-06-30,513729,502172,14482.78
2023-06-30,513730,503399,30887.9
2023-06-30,513731,503499,3438.8
2023-06-30,513733,504592,3214.83
2023-06-30,513734,505191,10934.24
2023-06-30,513735,505840,1704.63
2023-06-30,513736,506204,100523.58
2023-06-30,513737,506852,2752.53
2023-06-30,513732,504505,141275.08
2023-06-30,513739,507291,31061.47
2023-06-30,513738,507014,154210.43
2023-06-30,513747,508810,31838.4
2023-06-30,513746,508728,24590.35
2023-06-30,513745,508407,79465.39
2023-06-30,513744,508105,58849.98
2023-06-30,513748,509034,2564.73
2023-06-30,513743,508073,2858.33
2023-06-30,513742,507795,83718.71
2023-06-30,513741,507727,82844.01
2023-06-30,513740,507427,56869.76
2023-07-31,514118,511858,4179.98
2023-07-31,514117,511821,2163.36
2023-07-31,514116,511773,38272.81
2023-07-31,514115,511736,9568.36
2023-07-31,514114,511721,85716.87
2023-07-31,514112,511461,15781.21
2023-07-31,514119,511917,1913.35
2023-07-31,514111,511454,2593.14
2023-07-31,514110,511379,3653.02
2023-07-31,514109,511200,1526.06
2023-07-31,514107,511085,15645.64
2023-07-31,514113,511597,2849.44
2023-07-31,514120,511921,33360.3
2023-07-31,514131,513406,22664.23
2023-07-31,514122,512070,4219.03
2023-07-31,514123,512115,1926.3
2023-07-31,514124,512311,14898.86
2023-07-31,514125,512324,4434.57
2023-07-31,514126,512818,27609.31
2023-07-31,514127,512847,159841.02
2023-07-31,514128,513062,32098.17
2023-07-31,514129,513297,178632.77
2023-07-31,514130,513371,3716.71
2023-07-31,514106,511060,34068.94
2023-07-31,514132,513408,39129.75
2023-07-31,514133,513978,2686.03
2023-07-31,514134,513994,69076.94
2023-07-31,514121,511949,131639.02
2023-07-31,514105,510695,95753.37
2023-07-31,514108,511110,24764.15
2023-07-31,514103,510030,2857.52
2023-07-31,514104,510084,23497.02
2023-07-31,514075,500082,2675.59
2023-07-31,514076,500699,2061.96
2023-07-31,514077,501312,1230.44
2023-07-31,514078,501691,2593.9
2023-07-31,514079,502681,45732.87
2023-07-31,514080,503160,31320.95
2023-07-31,514081,503449,1529.61
2023-07-31,514083,504424,20337.82
2023-07-31,514084,504441,3048.77
2023-07-31,514085,504827,78884.66
2023-07-31,514086,505543,286.68
2023-07-31,514087,505736,131747.79
2023-07-31,514088,505834,895.88
2023-07-31,514082,503555,98922.21
2023-07-31,514090,507062,90256.95
2023-07-31,514102,509407,6414.76
2023-07-31,514089,506254,4306.43
2023-07-31,514101,509362,153462.48
2023-07-31,514100,509147,2735.24
2023-07-31,514099,508972,12270.1
2023-07-31,514097,508815,3368.82
2023-07-31,514098,508890,4203.42
2023-07-31,514095,508748,3168.09
2023-07-31,514094,508723,121440.51
2023-07-31,514093,508054,14104.85
2023-07-31,514092,507950,1376.58
2023-07-31,514091,507385,35749.24
2023-07-31,514096,508809,2597.16
2023-08-31,514375,511143,2235.98
2023-08-31,514379,511592,12481.07
2023-08-31,514378,511562,34762.85
2023-08-31,514377,511303,1845.63
2023-08-31,514376,511208,3168.28
2023-08-31,514374,510992,127491.76
2023-08-31,514368,510408,37400.33
2023-08-31,514372,510946,9971.58
2023-08-31,514371,510719,47907.06
2023-08-31,514370,510534,22214.78
2023-08-31,514369,510441,14164.51
2023-08-31,514380,511632,6436.74
2023-08-31,514373,510955,156490.44
